testcase,CBMC,CPAChecker,VeriAbsL,Proteus,LoopSCC,EXPECTED
loop-zilu/benchmark14_linear,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark15_conjunctive,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark16_conjunctive,UNKOWN,UNKOWN,UNKOWN,UNKOWN,SUCCESS,SUCCESS
loop-zilu/benchmark17_conjunctive,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark18_conjunctive,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark19_conjunctive,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark20_conjunctive,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark21_disjunctive,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark22_conjunctive,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,SUCCESS
loop-zilu/benchmark23_conjunctive,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark24_conjunctive,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark25_linear,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark26_linear,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark27_linear,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark28_linear,UNKOWN,FAILED,FAILED,SUCCESS,SUCCESS,FAILED
loop-zilu/benchmark29_linear,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark30_conjunctive,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark31_disjunctive,UNKOWN,FAILED,UNKOWN,UNKOWN,SUCCESS,SUCCESS
loop-zilu/benchmark32_linear,UNKOWN,SUCCESS,SUCCESS,SUCCESS,Exception,SUCCESS
loop-zilu/benchmark33_linear,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark34_conjunctive,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark35_linear,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark36_conjunctive,UNKOWN,UNKOWN,UNKOWN,UNKOWN,SUCCESS,SUCCESS
loop-zilu/benchmark37_conjunctive,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark38_conjunctive,UNKOWN,UNKOWN,UNKOWN,UNKOWN,SUCCESS,SUCCESS
loop-zilu/benchmark39_conjunctive,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark40_polynomial,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark41_conjunctive,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark42_conjunctive,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark43_conjunctive,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark44_disjunctive,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark45_disjunctive,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark46_disjunctive,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark47_linear,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark48_linear,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark49_linear,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-zilu/benchmark50_linear,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loop-zilu/benchmark51_polynomial,UNKOWN,SUCCESS,SUCCESS,UNKNOWN,Exception,SUCCESS
loop-zilu/benchmark52_polynomial,UNKOWN,SUCCESS,SUCCESS,UNKNOWN,Exception,SUCCESS
loop-zilu/benchmark53_polynomial,UNKOWN,FAILED,FAILED,FAILED,SUCCESS,SUCCESS
loops/count_up_down-1,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loops/count_up_down-2,UNKOWN,FAILED,FAILED,FAILED,FAILED,FAILED
loops/sum01-1,UNKOWN,FAILED,FAILED,FAILED,FAILED,FAILED
loops/sum01-2,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loops/sum01_bug02,UNKOWN,FAILED,FAILED,FAILED,FAILED,FAILED
loops/sum03-1,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
loops/sum03-2,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loops/sum04-1,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
loops/sum04-2,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-invariants/bin-suffix-5            ,UNKOWN  ,SUCCESS    ,SUCCESS  ,UNKNOWN,UNKNOWN,SUCCESS
loop-invariants/const                   ,UNKOWN  ,SUCCESS    ,SUCCESS  ,SUCCESS    ,SUCCESS    ,SUCCESS
loop-invariants/eq1                     ,UNKOWN  ,SUCCESS    ,SUCCESS  ,SUCCESS    ,SUCCESS    ,SUCCESS
loop-invariants/eq2                     ,UNKOWN  ,SUCCESS    ,SUCCESS  ,SUCCESS    ,SUCCESS    ,SUCCESS
loop-invariants/even                    ,UNKOWN  ,SUCCESS    ,SUCCESS  ,SUCCESS    ,SUCCESS    ,SUCCESS
loop-invariants/mod4                    ,UNKOWN  ,SUCCESS    ,SUCCESS  ,SUCCESS    ,SUCCESS    ,SUCCESS
loop-invariants/odd                     ,UNKOWN  ,SUCCESS    ,SUCCESS  ,SUCCESS    ,SUCCESS    ,SUCCESS
TOTAL,18.42%,63.16%,77.19%,72.81%,85.96%,1
